0,Secounds,Amps,Volt
0,1918,15.5,11.8
0,1919,15.5,11.8
0,1920,15.5,11.8
0,1921,15.5,11.8
0,1922,15.5,11.8
0,1923,15.5,11.8
0,1924,15.5,11.8
0,1925,15.5,11.8
0,1926,15.5,11.8
0,1927,15.5,11.8
0,1928,15.5,11.8
0,1929,15.5,11.8
0,1930,15.5,11.8
0,1931,15.5,11.8
0,1932,15.5,11.8
0,1933,15.5,11.8
0,1934,15.5,11.8
0,1935,15.5,11.8
0,1936,15.5,11.8
0,1937,15.5,11.8
0,1938,15.5,11.8
0,1939,15.5,11.8
0,1940,15.5,11.8
0,1941,15.5,11.8
0,1942,15.49,11.8
0,1943,15.5,11.8
0,1944,15.5,11.8
0,1945,15.5,11.8
0,1946,15.5,11.8
0,1947,15.5,11.8
0,1948,15.5,11.8
0,1949,15.5,11.8
0,1950,15.5,11.8
0,1951,15.5,11.8
0,1952,15.5,11.8
0,1953,15.49,11.8
0,1954,15.49,11.8
0,1955,15.49,11.8
0,1956,15.49,11.8
0,1957,15.49,11.8
0,1958,15.49,11.8
0,1959,15.49,11.8
0,1960,15.49,11.8
0,1961,15.49,11.8
0,1962,15.49,11.8
0,1963,15.49,11.8
0,1964,15.49,11.8
0,1965,15.49,11.8
0,1966,15.49,11.8
0,1967,15.49,11.8
0,1968,15.49,11.8
0,1969,15.49,11.8
0,1970,15.49,11.8
0,1971,15.49,11.8
0,1972,15.49,11.8
0,1973,15.49,11.8
0,1974,15.49,11.8
0,1975,15.49,11.8
0,1976,15.49,11.8
0,1977,15.49,11.8
0,1978,15.49,11.8
0,1979,15.49,11.8
0,1980,15.49,11.8
0,1981,15.49,11.8
0,1982,15.49,11.8
0,1983,15.49,11.8
0,1984,15.49,11.8
0,1985,15.49,11.8
0,1986,15.49,11.8
0,1987,15.49,11.8
0,1988,15.49,11.8
0,1989,15.49,11.8
0,1990,15.49,11.8
0,1991,15.49,11.8
0,1992,15.49,11.8
0,1993,15.49,11.8
0,1994,15.49,11.8
0,1995,15.49,11.8
0,1996,15.49,11.8
0,1997,15.49,11.8
0,1998,15.49,11.8
0,1999,15.49,11.8
0,2000,15.49,11.8
0,2001,15.49,11.8
0,2002,15.49,11.8
0,2003,15.49,11.8
0,2004,15.49,11.8
0,2005,15.49,11.8
0,2006,15.49,11.8
0,2007,15.49,11.8
0,2008,15.49,11.8
0,2009,15.49,11.8
0,2010,15.49,11.8
0,2011,15.48,11.8
0,2012,15.48,11.8
0,2013,15.49,11.8
0,2014,15.48,11.8
0,2015,15.49,11.8
0,2016,15.48,11.8
0,2017,15.48,11.8
0,2018,15.48,11.8
0,2019,15.48,11.8
0,2020,15.48,11.8
0,2021,15.49,11.8
0,2022,15.48,11.8
0,2023,15.48,11.8
0,2024,15.48,11.8
0,2025,15.48,11.8
0,2026,15.48,11.8
0,2027,15.48,11.8
0,2028,15.48,11.8
0,2029,15.48,11.8
0,2030,15.49,11.8
0,2031,15.49,11.8
0,2032,15.49,11.8
0,2033,15.49,11.8
0,2034,15.49,11.8
0,2035,15.49,11.8
0,2036,15.49,11.8
0,2037,15.49,11.8
0,2038,15.49,11.8
0,2039,15.49,11.8
0,2040,15.49,11.8
0,2041,15.49,11.8
0,2042,15.49,11.8
0,2043,15.49,11.8
0,2044,15.49,11.8
0,2045,15.49,11.8
0,2046,15.49,11.8
0,2047,15.49,11.8
0,2048,15.49,11.8
0,2049,15.49,11.8
0,2050,15.49,11.8
0,2051,15.49,11.8
0,2052,15.49,11.8
0,2053,15.49,11.8
0,2054,15.49,11.8
0,2055,15.48,11.8
0,2056,15.48,11.8
0,2057,15.48,11.8
0,2058,15.48,11.8
0,2059,15.49,11.8
0,2060,15.48,11.8
0,2061,15.48,11.8
0,2062,15.48,11.8
0,2063,15.48,11.8
0,2064,15.48,11.8
0,2065,15.48,11.8
0,2066,15.48,11.8
0,2067,15.48,11.8
0,2068,15.48,11.8
0,2069,15.48,11.8
0,2070,15.48,11.8
0,2071,15.48,11.8
0,2072,15.48,11.8
0,2073,15.48,11.8
0,2074,15.48,11.8
0,2075,15.48,11.8
0,2076,15.48,11.8
0,2077,15.48,11.8
0,2078,15.48,11.8
0,2079,15.48,11.8
0,2080,15.48,11.8
0,2081,15.48,11.8
0,2082,15.48,11.8
0,2083,15.48,11.8
0,2084,15.48,11.8
0,2085,15.47,11.8
0,2086,15.48,11.8
0,2087,15.48,11.8
0,2088,15.48,11.8
0,2089,15.48,11.8
0,2090,15.48,11.8
0,2091,15.48,11.8
0,2092,15.48,11.8
0,2093,15.48,11.8
0,2094,15.47,11.8
0,2095,15.48,11.8
0,2096,15.47,11.8
0,2097,15.47,11.8
0,2098,15.47,11.8
0,2099,15.48,11.8
0,2100,15.47,11.8
0,2101,15.47,11.8
0,2102,15.47,11.8
0,2103,15.47,11.8
0,2104,15.47,11.8
0,2105,15.47,11.8
0,2105,15.48,11.8
0,2106,15.48,11.8
0,2107,15.47,11.8
0,2108,15.47,11.8
0,2109,15.47,11.7
0,2110,15.47,11.8
0,2111,15.47,11.8
0,2112,15.47,11.8
0,2113,15.47,11.8
0,2114,15.47,11.8
0,2115,15.47,11.8
0,2116,15.47,11.8
0,2117,15.47,11.8
0,2118,15.47,11.8
0,2119,15.48,11.8
0,2120,15.47,11.8
0,2121,15.47,11.8
0,2122,15.47,11.8
0,2123,15.47,11.8
0,2124,15.47,11.7
0,2125,15.47,11.8
0,2126,15.47,11.8
0,2127,15.47,11.8
0,2128,15.47,11.8
0,2129,15.47,11.8
0,2130,15.47,11.8
0,2131,15.47,11.8
0,2131,15.48,11.7
0,2132,15.47,11.8
0,2133,15.47,11.8
0,2134,15.47,11.8
0,2135,15.47,11.8
0,2136,15.47,11.8
0,2137,15.47,11.8
0,2138,15.47,11.7
0,2139,15.47,11.8
0,2140,15.47,11.8
0,2141,15.47,11.8
0,2142,15.47,11.8
0,2143,15.47,11.8
0,2144,15.47,11.8
0,2145,15.47,11.8
0,2146,15.47,11.7
0,2147,15.47,11.7
0,2148,15.47,11.7
0,2149,15.47,11.7
0,2150,15.47,11.7
0,2151,15.47,11.7
0,2152,15.47,11.7
0,2153,15.47,11.7
0,2154,15.47,11.7
0,2155,15.47,11.7
0,2156,15.47,11.7
0,2157,15.46,11.7
0,2158,15.46,11.7
0,2159,15.47,11.7
0,2160,15.47,11.7
0,2161,15.46,11.7
0,2162,15.46,11.7
0,2163,15.46,11.7
0,2164,15.46,11.7
0,2165,15.46,11.7
0,2166,15.46,11.7
0,2167,15.46,11.7
0,2168,15.46,11.7
0,2169,15.46,11.7
0,2170,15.46,11.7
0,2171,15.46,11.7
0,2172,15.46,11.7
0,2173,15.46,11.7
0,2174,15.46,11.7
0,2175,15.46,11.7
0,2176,15.46,11.7
0,2177,15.46,11.7
0,2178,15.46,11.7
0,2179,15.46,11.7
0,2180,15.46,11.7
0,2181,15.46,11.7
0,2182,15.46,11.7
0,2183,15.46,11.7
0,2184,15.46,11.7
0,2185,15.46,11.7
0,2186,15.46,11.7
0,2187,15.46,11.7
0,2188,15.46,11.7
0,2189,15.46,11.7
0,2190,15.46,11.7
0,2191,15.46,11.7
0,2192,15.46,11.7
0,2193,15.46,11.7
0,2194,15.46,11.7
0,2195,15.46,11.7
0,2196,15.46,11.7
0,2197,15.46,11.7
0,2198,15.46,11.7
0,2199,15.46,11.7
0,2200,15.46,11.7
0,2201,15.46,11.7
0,2202,15.46,11.7
0,2203,15.46,11.7
0,2204,15.46,11.7
